strategy,family,top_k,momentum_window,absolute_trend_window,fallback,holding_days,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
B020,u4_rotation,1,60,120,cash,5,beginning,353524.42193000007,730038.6065700001,0.11267849494193338,1613.29343,2304704.9,57,0.11752577319587629,1
B020,u4_rotation,1,60,120,cash,5,ending,361247.51182,745352.1250300001,0.08473520616033692,3118.97497,4441867.6,47,0.09690721649484536,1
B021,u4_rotation,1,60,120,cash,20,beginning,357941.13821000006,717941.13821,0.11296650994586854,376.36179000000004,537659.7,16,0.032989690721649485,1
B021,u4_rotation,1,60,120,cash,20,ending,356110.85944000003,716110.85944,0.04608061479250991,289.94056,414200.8,15,0.030927835051546393,1
B022,u4_rotation,1,60,120,510050,5,beginning,395643.86395999993,772945.6819399999,0.0857245071283933,2625.61806,3671093.6,64,0.13195876288659794,1
B022,u4_rotation,1,60,120,510050,5,ending,387974.90459000005,767113.3371500002,0.06719780656801422,1850.2628499999998,2561957.8,66,0.1360824742268041,1
B023,u4_rotation,1,60,120,510050,20,beginning,392148.8191,752148.8191,0.045912809671857735,361.7809,510171.20000000007,16,0.032989690721649485,1
B023,u4_rotation,1,60,120,510050,20,ending,382772.09870000003,742772.0987,0.11276045147065283,683.9013,970343.2000000001,18,0.03711340206185567,1
B024,u4_rotation,1,120,20,cash,5,beginning,344775.0247899999,729980.1536999999,0.0668421048049983,3435.1463000000003,4900931.5,46,0.09484536082474226,1
B024,u4_rotation,1,120,20,cash,5,ending,341578.22912000003,652293.94498,0.07077483488782543,2808.65502,4000521.5999999996,46,0.09484536082474226,1
B025,u4_rotation,1,120,20,cash,20,beginning,366899.69766000006,701353.47921,0.0907021813307769,2251.2207900000003,3216029.6999999997,9,0.018556701030927835,1
B025,u4_rotation,1,120,20,cash,20,ending,350548.03757000004,704677.85553,0.06860761503498536,1598.44447,2283492.1,10,0.020618556701030927,1
B026,u4_rotation,1,120,20,510050,5,beginning,394575.6020500001,736959.0439700002,0.0816293058510622,4120.75603,5814834.399999999,70,0.14432989690721648,1
B026,u4_rotation,1,120,20,510050,5,ending,404124.47385,758502.49481,0.0809506709480452,3439.20519,4846876.300000001,68,0.1402061855670103,1
B027,u4_rotation,1,120,20,510050,20,beginning,359251.32938999997,730196.16693,0.045912809671857735,795.33307,1136190.1,17,0.03505154639175258,1
B027,u4_rotation,1,120,20,510050,20,ending,361911.57849000004,670425.4024499999,0.0906984667109566,3021.89755,4316996.5,15,0.030927835051546393,1
B028,u4_rotation,1,120,60,cash,5,beginning,368855.9973,745838.3505799999,0.08084359138764097,1738.84942,2484070.6,49,0.10103092783505155,1
