strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,asset_identity_passed,passes_strict_gate,blocking_reason
B000,327764.85751,704044.6769000002,0.09956236428160548,0.10309278350515463,5047.1271,7197913.999999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B053,340401.5961799999,739005.6103099997,0.07828973624854774,0.016494845360824743,4281.453619999999,6104631.6,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B054,384510.16366,787919.9296699999,0.08190929620484466,0.09896907216494845,7400.852059999999,10301218.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B055,369464.53966,778636.5945299999,0.08189783064094791,0.024742268041237112,4388.709199999999,6252310.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B056,346126.15509,821522.57795,0.07182675989817355,0.07628865979381444,6119.230509999998,8554702.299999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B057,345222.44414,771103.5634900001,0.060263532737575454,0.02268041237113402,3471.336509999999,4953705.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B058,391494.12777,871666.86282,0.07183074772875775,0.10515463917525773,6726.8459600000015,9354132.500000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B059,373011.86524,802326.4861499998,0.06045883216272274,0.026804123711340205,3776.953019999999,5378615.200000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B060,343751.02532,801653.45472,0.055928109222190714,0.07216494845360824,11214.031860000001,15907799.600000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B061,373779.46551,801893.5703499999,0.07108794204761881,0.016494845360824743,4201.71441,5996823.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B062,348005.84907000005,826901.3929399996,0.055933304712417864,0.11752577319587629,12090.810540000002,17094107.1,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B063,340220.55018,774149.9141299999,0.06784689855450621,0.030927835051546393,4506.39417,6432838.9,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B064,348334.59698000003,721417.36765,0.10300271536675276,0.07216494845360824,6484.932350000001,9102611.999999998,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B065,346005.41099,741259.98164,0.10737632567891975,0.016494845360824743,3045.03539,4343506.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B066,388296.24132999993,760349.72343,0.1033353007475677,0.1154639175257732,7620.67657,10646689.000000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B067,371131.18316000013,766129.1196900001,0.10735846887312561,0.0288659793814433,2993.08031,4263225.1,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B068,344488.51094,796293.6844999999,0.07184008716121904,0.07628865979381444,6017.4155,8416890.399999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B069,343768.05647000007,804438.0762499999,0.06770710193066865,0.020618556701030927,2428.72375,3463061.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B070,389807.45434,844090.70182,0.07183939792219163,0.11134020618556702,6606.69732,9201446.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B071,371131.18316000013,836974.8030000001,0.06780518161457316,0.026804123711340205,2567.99373,3651091.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
