spec_id,W12,W24,margin_peak,asset_identity_failures
S4ARB-0037,339715.4858400001,715702.5873200002,168432.0,0
S4ARB-0038,339715.4858400001,715702.5873200002,168432.0,0
S4ARB-0039,339715.4858400001,715702.5873200002,168432.0,0
S4ARB-0043,339683.4858400001,715670.5873200002,168432.0,0
S4ARB-0042,339683.4858400001,715670.5873200002,168432.0,0
S4ARB-0041,339683.4858400001,715670.5873200002,168432.0,0
S4ARB-0040,339683.4858400001,715670.5873200002,168432.0,0
S4ARB-0044,339651.4858400001,715638.4988700001,170388.0,0
S4ARB-0045,339651.4858400001,715638.4988700001,170388.0,0
S4ARB-0046,339651.4858400001,715638.4988700001,170388.0,0
S4ARB-0047,339651.4858400001,715638.4988700001,170388.0,0
S4ARB-0000,335384.0141900001,710797.40413,169380.0,0
S4ARB-0001,335384.0141900001,710797.40413,169380.0,0
S4ARB-0002,335384.0141900001,710797.40413,169380.0,0
S4ARB-0003,335384.0141900001,710797.40413,169380.0,0
S4ARB-0004,335352.0141900001,710766.40443,169380.0,0
S4ARB-0005,335352.0141900001,710766.40443,169380.0,0
S4ARB-0006,335352.0141900001,710766.40443,169380.0,0
S4ARB-0007,335352.0141900001,710766.40443,169380.0,0
S4ARB-0008,335320.0141900001,710744.35734,170388.0,0
S4ARB-0009,335320.0141900001,710744.35734,170388.0,0
S4ARB-0010,335320.0141900001,710744.35734,170388.0,0
S4ARB-0011,335320.0141900001,710744.35734,170388.0,0
S4ARB-0012,334374.8542300001,709565.0401700002,168432.0,0
S4ARB-0013,334374.8542300001,709565.0401700002,168432.0,0
S4ARB-0014,334374.8542300001,709565.0401700002,168432.0,0
S4ARB-0015,334374.8542300001,709565.0401700002,168432.0,0
S4ARB-0019,334342.85423000006,709532.6036700001,180000.0,0
S4ARB-0018,334342.85423000006,709532.6036700001,180000.0,0
S4ARB-0017,334342.85423000006,709532.6036700001,180000.0,0
S4ARB-0016,334342.85423000006,709532.6036700001,180000.0,0
S4ARB-0023,334303.9521600001,709487.7107400001,170388.0,0
S4ARB-0022,334303.9521600001,709487.7107400001,170388.0,0
S4ARB-0021,334303.9521600001,709487.7107400001,170388.0,0
S4ARB-0020,334303.9521600001,709487.7107400001,170388.0,0
S4ARB-0087,334687.3837800001,709121.3149600002,168432.0,0
S4ARB-0086,334687.3837800001,709121.3149600002,168432.0,0
S4ARB-0085,334687.3837800001,709121.3149600002,168432.0,0
S4ARB-0084,334687.3837800001,709121.3149600002,168432.0,0
S4ARB-0088,329341.0646300001,703792.3117700001,168432.0,0
S4ARB-0089,329341.0646300001,703792.3117700001,168432.0,0
S4ARB-0090,329341.0646300001,703792.3117700001,168432.0,0
S4ARB-0091,329341.0646300001,703792.3117700001,168432.0,0
S4ARB-0076,328822.06868000014,703187.6281300001,168432.0,0
S4ARB-0077,328822.06868000014,703187.6281300001,168432.0,0
S4ARB-0078,328822.06868000014,703187.6281300001,168432.0,0
S4ARB-0079,328822.06868000014,703187.6281300001,168432.0,0
S4ARB-0092,328036.4183700001,702150.6464500001,170388.0,0
S4ARB-0093,328036.4183700001,702150.6464500001,170388.0,0
S4ARB-0094,328036.4183700001,702150.6464500001,170388.0,0
S4ARB-0095,328036.4183700001,702150.6464500001,170388.0,0
S4ARB-0080,327570.2804600001,701620.1095200002,170388.0,0
S4ARB-0081,327570.2804600001,701620.1095200002,170388.0,0
S4ARB-0082,327570.2804600001,701620.1095200002,170388.0,0
S4ARB-0083,327570.2804600001,701620.1095200002,170388.0,0
S4ARB-0075,323970.4504200001,697498.07738,168432.0,0
S4ARB-0074,323970.4504200001,697498.07738,168432.0,0
S4ARB-0073,323970.4504200001,697498.07738,168432.0,0
S4ARB-0072,323970.4504200001,697498.07738,168432.0,0
