spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,dual_target_pass
CO-0035,ending,,0.0,413965.72996,861023.9219200001,1781.2000000000144,0.0,0,0,0,1,206.87807999999995,-0.0588651151836788,0,False
CO-0036,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0036,ending,2025-11,0.012,416285.22687,844152.21325,-2707.0999999999917,-18066.00000000008,0,0,2,1,190.78675,-0.0671967385411259,0,False
CO-0037,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0037,ending,2025-11,0.012,416285.22687,844152.21325,-2707.0999999999917,-18066.00000000008,0,0,2,1,190.78675,-0.0671967385411259,0,False
CO-0038,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0038,ending,2025-11,0.012,416285.22687,844152.21325,-2707.0999999999917,-18066.00000000008,0,0,2,1,190.78675,-0.0671967385411259,0,False
CO-0039,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0039,ending,2025-11,0.012,416285.22687,844152.21325,-2707.0999999999917,-18066.00000000008,0,0,2,1,190.78675,-0.0671967385411259,0,False
CO-0040,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0040,ending,2025-11,0.0198412698412698,416285.22687,844120.21325,-2707.0999999999917,-15606.000000000133,0,0,4,1,222.78675,-0.0671967385411259,0,False
CO-0041,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0041,ending,2025-11,0.0198412698412698,416285.22687,844120.21325,-2707.0999999999917,-15606.000000000133,0,0,4,1,222.78675,-0.0671967385411259,0,False
CO-0042,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0042,ending,2025-11,0.0198412698412698,416285.22687,844120.21325,-2707.0999999999917,-15606.000000000133,0,0,4,1,222.78675,-0.0671967385411259,0,False
CO-0043,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0043,ending,2025-11,0.0198412698412698,416285.22687,844120.21325,-2707.0999999999917,-15606.000000000133,0,0,4,1,222.78675,-0.0671967385411259,0,False
CO-0044,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0044,ending,2025-11,0.0275590551181102,416285.22687,844088.21325,-2707.0999999999917,-25806.00000000013,0,0,6,1,254.78675,-0.0671967385411259,0,False
CO-0045,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0045,ending,2025-11,0.0275590551181102,416285.22687,844088.21325,-2707.0999999999917,-25806.00000000013,0,0,6,1,254.78675,-0.0671967385411259,0,False
CO-0046,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0046,ending,2025-11,0.0275590551181102,416285.22687,844088.21325,-2707.0999999999917,-25806.00000000013,0,0,6,1,254.78675,-0.0671967385411259,0,False
CO-0047,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0047,ending,2025-11,0.0275590551181102,416285.22687,844088.21325,-2707.0999999999917,-25806.00000000013,0,0,6,1,254.78675,-0.0671967385411259,0,False
CO-0048,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
CO-0048,ending,,0.0,416285.22687,855997.58249,-1058.8999999999764,0.0,0,0,0,1,206.81751,-0.0671967385411259,0,False
CO-0049,beginning,,0.0,419586.80191,866775.3557900001,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,False
