spec_id,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,valid,overlay_executed,dual_target_pass
CO-0046,2025-11,0.0,416285.22687,844088.21325,-2707.099999999992,-25806.00000000013,0,0,6,1,254.78675,-0.114462475022156,0,True,True,False
CO-0047,2025-11,0.0,416285.22687,844088.21325,-2707.099999999992,-25806.00000000013,0,0,6,1,254.78675,-0.114462475022156,0,True,True,False
CO-0048,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0049,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0050,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0051,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0052,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0053,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0054,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0055,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0056,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0057,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0058,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0059,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0060,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0061,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0062,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0063,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0064,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0065,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0066,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0067,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0068,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0069,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0070,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0071,,0.0,416285.22687,855997.58249,-1476.1999999999755,0.0,0,0,0,1,215.84421,-0.114462475022156,0,True,False,False
CO-0072,2025-04,0.0034722222222222,419309.48685,872667.77868,812.999999999994,-5159.999999999947,0,0,2,1,206.78674000000004,-0.1769083100487013,2,False,True,False
CO-0073,2025-04,0.0034722222222222,419309.48685,872667.77868,812.999999999994,-5159.999999999947,0,0,2,1,206.78674000000004,-0.1769083100487013,2,False,True,False
CO-0074,2025-04,0.0034722222222222,419309.48685,872667.77868,812.999999999994,-5159.999999999947,0,0,2,1,206.78674000000004,-0.1769083100487013,2,False,True,False
CO-0075,2025-04,0.0034722222222222,419309.48685,872667.77868,812.999999999994,-5159.999999999947,0,0,2,1,206.78674000000004,-0.1769083100487013,2,False,True,False
CO-0076,2025-04,0.0034722222222222,419309.48685,865678.4302,788.3999999999941,-14340.000000000056,0,0,4,1,238.78674000000004,-0.1769083100487013,2,False,True,False
CO-0077,2025-04,0.0034722222222222,419309.48685,865678.4302,788.3999999999941,-14340.000000000056,0,0,4,1,238.78674000000004,-0.1769083100487013,2,False,True,False
