strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,asset_identity_passed,passes_strict_gate,blocking_reason
C000,362779.0949,743973.4998999999,0.013598279195791152,0.0,1658.9476499999996,1079151.3999999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C024,365756.77972,750759.2188799998,0.017387029987744662,0.0,2614.2122300000005,2655439.400000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C025,371944.6860800001,784077.9641900002,0.034961953534478396,0.0,4697.04208,5494945.799999998,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C026,376577.24274,823110.4002100001,0.05680343443882374,0.049484536082474224,6957.653270000003,8813301.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C027,364637.71444999997,750100.4507499998,0.01739327106616828,0.0,2041.24265,1719791.0000000005,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C028,369641.14969000005,782420.6573999999,0.03499982353820219,0.0,3399.7734900000005,3505679.2999999984,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C029,375795.61789999995,823613.7498799998,0.056808232727325936,0.026804123711340205,4596.16522,5195676.199999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C030,363829.67942000006,748776.47461,0.017394905510306202,0.0,2617.44851,2646938.3000000007,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C031,367951.8168100003,779620.6635400004,0.035000382023536614,0.0,4664.698709999999,5448240.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C032,371206.67058999994,816870.67976,0.04812172634527179,0.04536082474226804,6852.283279999998,8611624.699999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C033,360763.0078000001,745948.9797200001,0.017456868300291695,0.0,2079.3840100000007,1712593.2999999998,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C034,361914.5178300001,774015.5989099997,0.0347821981193045,0.0,3331.14877,3454999.999999998,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C035,365306.78331999993,811711.6654000002,0.046582594103382835,0.020618556701030927,4559.54403,5128393.600000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
