strategy,family,deposit_timing,n_windows,p_success,p_w12,p_w24,median_w24,p10_w24,p90_w24,median_max_drawdown,p95_max_drawdown,p_w24_below_deposit,p_w24_below_720k,p_drawdown_gt_35,p_drawdown_gt_50,avg_turnover,fee_drag,financing_drag,score,worst_w12,worst_w24,p5_w24,p95_w24,worst_drawdown,worst_recovery_days
S1_ramom_lb20_top1_monthly_ma200,S1,ending,234,0.0,0.017094017094017096,0.01282051282051282,720000.0,638292.121705726,853254.0310061148,0.10406412129789411,0.32105160411603845,0.32905982905982906,0.32905982905982906,0.038461538461538464,0.0,0.020893896700502734,2698.7445338726034,0.0,-22.90408392095732,291599.3389446724,548091.6408111386,613476.69885727,891479.2142685484,0.37532470416785857,235.0
S1_mom_lb60_top2_monthly_ma200,S1,ending,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,642600.3491782451,824291.8533976165,0.10025349638313458,0.37459110647815747,0.3162393162393162,0.3162393162393162,0.0641025641025641,0.0,0.012654585397142098,1578.0310344823176,0.0,-23.013998500231406,299193.2488971732,573464.7601582285,601540.6152832444,932480.4989557238,0.39803439586937783,172.0
S1_ramom_lb120_top2_weekly_ma60,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,655000.1545349363,813257.2643299664,0.09090930441562256,0.2445133242047861,0.358974358974359,0.358974358974359,0.0,0.0,0.028689540436527574,3651.611347165027,0.0,-23.067510443787654,284177.51993359195,529517.8994761606,642951.3400279833,907834.4630133072,0.24451332420478633,155.0
S1_ramom_lb60_top2_monthly_ma60,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,615725.5811395599,807248.2377843987,0.11040063682836843,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.014539111904927479,1792.3101662085958,0.0,-23.075578808044302,289224.7410211535,531824.026521051,591149.1832931014,891413.0697129366,0.24451332420478644,136.0
S1_ramom_lb60_top2_monthly_ma60,S1,beginning,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,609002.8427264425,812425.471842678,0.11040063682836854,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.015163425116587796,1941.161309472343,0.0,-23.081821940160903,278654.1876119612,522073.40175893664,584436.5951935428,904400.4799723502,0.24451332420478644,156.0
S1_ramom_lb120_top2_monthly_ma200,S1,beginning,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,646444.6348292053,808805.684983117,0.10760027815622586,0.3786779357928033,0.3162393162393162,0.3162393162393162,0.06837606837606838,0.0,0.009169928164952185,1173.7987235477333,0.0,-23.085989534747114,301797.4627571491,585109.1440772059,627246.6182809316,839202.9642196462,0.4169434986219085,215.0
S1_mom_lb60_top2_monthly_ma60,S1,beginning,234,0.0,0.029914529914529916,0.01282051282051282,720000.0,609002.8427264425,812933.7201476844,0.12078638616718074,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.01647789359988571,2121.8281700932484,0.0,-23.094966624993884,280438.54020206525,537667.3822977905,587990.6588722131,1007939.1633131921,0.24451332420478644,172.0
S1_mom_lb60_top2_monthly_ma200,S1,beginning,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,636448.8522007872,832095.2356077424,0.11040063682836843,0.37919037171513315,0.3162393162393162,0.3162393162393162,0.06837606837606838,0.0,0.013217054564007572,1708.8657082043678,0.0,-23.126460798737668,293608.76978230587,565638.7786306062,594206.0727006221,943677.7926146744,0.39873943876297446,195.0
S1_ramom_lb20_top2_monthly_ma60,S1,ending,234,0.0,0.02564102564102564,0.029914529914529916,720000.0,633719.2488644667,837302.5457784665,0.11517055811224691,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.01964635105421396,2488.147770983692,0.0,-23.126651199537164,290563.5321282882,558762.9951592265,614756.6868323286,1037548.1705073381,0.24451332420478633,172.0
S1_ramom_lb60_top1_monthly_ma60,S1,ending,234,0.0,0.021367521367521368,0.017094017094017096,720000.0,617410.3927247989,821066.4731377442,0.12066263622753243,0.27743589743589736,0.36324786324786323,0.36324786324786323,0.0,0.0,0.019913190045846636,2529.862509410647,0.0,-23.12931958945349,290934.87413316953,537544.5798012714,599689.6327197421,1010425.45561559,0.2774358974358976,194.0
S1_mom_lb20_top2_monthly_ma60,S1,ending,234,0.0,0.02564102564102564,0.02564102564102564,720000.0,633719.2488644667,841754.5814047507,0.11517055811224691,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.020366615453888046,2593.4378097373533,0.0,-23.133853843533906,289888.2697324483,556618.0791549978,614757.8802640002,1037548.1705073381,0.24451332420478622,172.0
S1_mom_lb20_top2_monthly_ma60,S1,beginning,234,0.0,0.03418803418803419,0.029914529914529916,720000.0,628099.361501005,845896.3256008897,0.1164578293388433,0.2445133242047861,0.36324786324786323,0.36324786324786323,0.0,0.0,0.021017218112404885,2813.6123894290386,0.0,-23.140359870119074,279249.18485032994,548723.5649744789,611555.638025109,1043953.1080631986,0.24451332420478633,195.0
S1_ramom_lb60_top2_monthly_ma200,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,633458.4594548837,815344.5551139528,0.10056635310816087,0.371734230529707,0.32051282051282054,0.32051282051282054,0.0641025641025641,0.0,0.011948452054828536,1485.2769600761453,0.0,-23.15650981638092,299193.2488971732,562822.8508685278,600211.3296203818,866480.6914579555,0.39622309503269126,171.0
S1_mom_lb20_top1_weekly_ma200,S1,ending,234,0.0,0.02564102564102564,0.021367521367521368,720000.0,651150.0318537032,813053.2528816081,0.09266409266409276,0.27743589743589736,0.358974358974359,0.358974358974359,0.0,0.0,0.04504493988828588,5837.430395872429,0.0,-23.23106443830524,308158.0600702246,592792.499938842,630338.5364530068,1025106.3931116919,0.3015141800170983,214.0
S1_mom_lb20_top1_weekly_ma200,S1,beginning,234,0.0,0.03418803418803419,0.02564102564102564,720000.0,647301.5036870693,817603.9017807802,0.09266409266409281,0.2779416923076923,0.358974358974359,0.358974358974359,0.0,0.0,0.04695261499267257,6321.69763259004,0.0,-23.250141189349105,302313.5125929572,585467.5266809891,623274.5334591329,1052428.9011901668,0.3031253012383711,215.0
S1_ramom_lb20_top1_weekly_ma200,S1,ending,234,0.0,0.029914529914529916,0.029914529914529916,720000.0,659007.5020597109,835951.2642378679,0.08614200743494438,0.27743589743589736,0.358974358974359,0.358974358974359,0.0,0.0,0.047248117885497896,6264.03063935729,0.0,-23.253096218277356,313855.9775421739,590723.5685811148,636209.4410896372,1065815.9925412992,0.3025898336081506,214.0
S1_ramom_lb60_top2_monthly_ma200,S1,beginning,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,627331.1413330059,822479.6049709003,0.10760027815622575,0.3763846688486177,0.32051282051282054,0.32051282051282054,0.06837606837606838,0.0,0.012510921221694008,1606.651169553823,0.0,-23.268972114887184,293608.76978230587,554400.5452205363,593073.6988055558,874490.3481745691,0.39699079460732656,172.0
S1_ramom_lb20_top1_weekly_ma200,S1,beginning,234,0.0,0.03418803418803419,0.03418803418803419,720000.0,654528.4394105343,840758.5785512711,0.08015790458372318,0.2779416923076923,0.358974358974359,0.358974358974359,0.0,0.0,0.04922592310828073,6785.288544141113,0.0,-23.272874270505188,307192.92548100266,582484.7358069207,630216.8795465846,1082349.7302558026,0.30428313001937735,215.0
S1_ramom_lb60_top1_monthly_ma60,S1,beginning,234,0.0,0.03418803418803419,0.021367521367521368,720000.0,612797.2755346443,837762.3405523424,0.12504626019945597,0.27743589743589736,0.36752136752136755,0.36752136752136755,0.0,0.0,0.02053750325750696,2742.4782889458816,0.0,-23.285135371142747,280370.4815950576,528152.3727707233,593029.5775675757,1031357.7993760807,0.27743589743589747,195.0
