strategy,family,worst_timing_success,median_w24,worst_w24,p5_w24,worst_drawdown,passes_numeric_dual_target,passes_strict_gate,blocking_reason
S1_ramom_lb120_top1_weekly_ma200,S1,0.0,720000.0,567832.7632698108,663915.0967618215,0.45989694843291207,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top1_weekly_ma60,S1,0.0,720000.0,501138.440756648,621692.9164723768,0.2779416923076924,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_monthly_ma200,S1,0.0,720000.0,585109.1440772059,627246.6182809316,0.4169434986219085,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_monthly_ma60,S1,0.0,720000.0,531649.4999733125,609220.1265086967,0.24451332420478633,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_weekly_ma200,S1,0.0,720000.0,573178.3758201532,673139.4609754332,0.39778699254273253,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_weekly_ma60,S1,0.0,720000.0,519399.6125417979,636905.6804628796,0.24504216487784292,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top1_monthly_ma200,S1,0.0,720000.0,539525.2670376588,607022.4250736531,0.3768228535750494,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top1_monthly_ma60,S1,0.0,720000.0,535873.629858791,595385.356708417,0.27743589743589747,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top1_weekly_ma200,S1,0.0,720000.0,582484.7358069207,630216.8795465846,0.30428313001937735,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top1_weekly_ma60,S1,0.0,720000.0,552123.9140458012,594176.7454953342,0.2830513523564342,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_monthly_ma200,S1,0.0,720000.0,552710.701526646,612630.0906334228,0.3446131246274796,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_monthly_ma60,S1,0.0,720000.0,550990.2799147548,610180.8359002373,0.24451332420478633,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_weekly_ma200,S1,0.0,720000.0,602890.2748330747,646986.412885142,0.287571366070309,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_weekly_ma60,S1,0.0,720000.0,582002.6588727135,617911.3952274922,0.2646982567626617,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_monthly_ma200,S1,0.0,720000.0,554857.1074057941,588775.6986718487,0.4621393857415912,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_monthly_ma60,S1,0.0,720000.0,528152.3727707233,593029.5775675757,0.2774358974358976,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_weekly_ma200,S1,0.0,720000.0,580244.4911565614,640244.8878097733,0.46305222391056533,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_weekly_ma60,S1,0.0,720000.0,585505.413825835,626829.9125151865,0.2779416923076924,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_monthly_ma200,S1,0.0,720000.0,554400.5452205363,593073.6988055558,0.39699079460732656,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_monthly_ma60,S1,0.0,720000.0,522073.40175893664,584436.5951935428,0.24451332420478644,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_weekly_ma200,S1,0.0,720000.0,601893.224584992,646834.8137015349,0.4099030779590921,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_weekly_ma60,S1,0.0,720000.0,605568.2615203998,623740.5631439012,0.24504216487784292,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
