spec_id,deposit_timing,month,reason,count
CO-0444,ending,202409,free_cash_insufficient,5
CO-0444,ending,202410,limit_price,1
CO-0445,beginning,202402,nav_multiple_gate,12
CO-0445,beginning,202403,nav_multiple_gate,19
CO-0445,beginning,202404,nav_multiple_gate,10
CO-0445,beginning,202405,nav_multiple_gate,18
CO-0445,beginning,202407,nav_multiple_gate,11
CO-0445,beginning,202408,free_cash_insufficient,2
CO-0445,beginning,202409,free_cash_insufficient,5
CO-0445,beginning,202410,limit_price,1
CO-0445,beginning,202410,free_cash_insufficient,1
CO-0445,ending,202402,nav_multiple_gate,12
CO-0445,ending,202403,nav_multiple_gate,19
CO-0445,ending,202404,nav_multiple_gate,10
CO-0445,ending,202405,nav_multiple_gate,18
CO-0445,ending,202407,nav_multiple_gate,11
CO-0445,ending,202408,free_cash_insufficient,2
CO-0445,ending,202409,free_cash_insufficient,5
CO-0445,ending,202410,limit_price,1
CO-0446,beginning,202402,nav_multiple_gate,12
CO-0446,beginning,202403,nav_multiple_gate,19
CO-0446,beginning,202404,nav_multiple_gate,10
CO-0446,beginning,202405,nav_multiple_gate,18
CO-0446,beginning,202407,nav_multiple_gate,11
CO-0446,beginning,202408,free_cash_insufficient,2
CO-0446,beginning,202409,free_cash_insufficient,5
CO-0446,beginning,202410,limit_price,1
CO-0446,beginning,202410,free_cash_insufficient,1
CO-0446,ending,202402,nav_multiple_gate,12
CO-0446,ending,202403,nav_multiple_gate,19
CO-0446,ending,202404,nav_multiple_gate,10
CO-0446,ending,202405,nav_multiple_gate,18
CO-0446,ending,202407,nav_multiple_gate,11
CO-0446,ending,202408,free_cash_insufficient,2
CO-0446,ending,202409,free_cash_insufficient,5
CO-0446,ending,202410,limit_price,1
CO-0447,beginning,202402,nav_multiple_gate,12
CO-0447,beginning,202403,nav_multiple_gate,19
CO-0447,beginning,202404,nav_multiple_gate,10
CO-0447,beginning,202405,nav_multiple_gate,18
CO-0447,beginning,202407,nav_multiple_gate,11
CO-0447,beginning,202408,free_cash_insufficient,2
