spec_id,W12,W24,etf_pnl,futures_pnl,first_feasible_month,feasible_date_rate,margin_peak,margin_mean,margin_to_nav_peak,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,valid,overlay_executed,dual_target_pass
CO-0528,409858.4829200001,850718.2568000002,17802.099999999984,-57050.99999999988,2024-10,0.088235294117647,168432.0,98112.8412371134,0.4976551557280987,0,0,2,523.3068399999997,-0.1515630070885543,0,3,57,0,2,0,0,0,True,True,False
CO-0529,409858.4829200001,850718.2568000002,17802.099999999984,-57050.99999999988,2024-10,0.088235294117647,168432.0,98112.8412371134,0.4976551557280987,0,0,2,523.3068399999997,-0.1515630070885543,0,3,57,0,2,0,0,0,True,True,False
CO-0530,409858.4829200001,850718.2568000002,17802.099999999984,-57050.99999999988,2024-10,0.088235294117647,168432.0,98112.8412371134,0.4976551557280987,0,0,2,523.3068399999997,-0.1515630070885543,0,3,57,0,2,0,0,0,True,True,False
CO-0531,409858.4829200001,850718.2568000002,17802.099999999984,-57050.99999999988,2024-10,0.088235294117647,168432.0,98112.8412371134,0.4976551557280987,0,0,2,523.3068399999997,-0.1515630070885543,0,3,57,0,2,0,0,0,True,True,False
CO-0532,409826.4829200001,850714.0651400002,17807.09999999998,-61850.99999999988,2024-10,0.1388888888888889,168432.0,98078.17731958764,0.4866131252632495,0,0,4,555.3068399999999,-0.1516439713146193,0,3,57,0,2,0,0,0,True,True,False
CO-0533,409826.4829200001,850714.0651400002,17807.09999999998,-61850.99999999988,2024-10,0.1388888888888889,168432.0,98078.17731958764,0.4866131252632495,0,0,4,555.3068399999999,-0.1516439713146193,0,3,57,0,2,0,0,0,True,True,False
CO-0534,409826.4829200001,850714.0651400002,17807.09999999998,-61850.99999999988,2024-10,0.1388888888888889,168432.0,98078.17731958764,0.4866131252632495,0,0,4,555.3068399999999,-0.1516439713146193,0,3,57,0,2,0,0,0,True,True,False
CO-0535,409826.4829200001,850714.0651400002,17807.09999999998,-61850.99999999988,2024-10,0.1388888888888889,168432.0,98078.17731958764,0.4866131252632495,0,0,4,555.3068399999999,-0.1516439713146193,0,3,57,0,2,0,0,0,True,True,False
CO-0536,409794.4829200001,850682.0651400002,17807.09999999998,-77750.99999999988,2024-10,0.1842105263157894,168432.0,98057.19587628866,0.4790611166733897,0,0,6,587.3054900000001,-0.1517249355406846,0,3,57,0,2,0,0,0,True,True,False
CO-0537,409794.4829200001,850682.0651400002,17807.09999999998,-77750.99999999988,2024-10,0.1842105263157894,168432.0,98057.19587628866,0.4790611166733897,0,0,6,587.3054900000001,-0.1517249355406846,0,3,57,0,2,0,0,0,True,True,False
CO-0538,409794.4829200001,850682.0651400002,17807.09999999998,-77750.99999999988,2024-10,0.1842105263157894,168432.0,98057.19587628866,0.4790611166733897,0,0,6,587.3054900000001,-0.1517249355406846,0,3,57,0,2,0,0,0,True,True,False
CO-0539,409794.4829200001,850682.0651400002,17807.09999999998,-77750.99999999988,2024-10,0.1842105263157894,168432.0,98057.19587628866,0.4790611166733897,0,0,6,587.3054900000001,-0.1517249355406846,0,3,57,0,2,0,0,0,True,True,False
CO-0480,401238.4395100002,839760.7302800001,15584.89999999998,-57050.99999999988,2024-10,0.0357142857142857,168432.0,98112.8412371134,0.5141186029986305,0,0,2,408.2238,-0.1551544890946129,0,18,87,0,2,0,0,0,True,True,False
CO-0481,401238.4395100002,839760.7302800001,15584.89999999998,-57050.99999999988,2024-10,0.0357142857142857,168432.0,98112.8412371134,0.5141186029986305,0,0,2,408.2238,-0.1551544890946129,0,18,87,0,2,0,0,0,True,True,False
CO-0482,401238.4395100002,839760.7302800001,15584.89999999998,-57050.99999999988,2024-10,0.0357142857142857,168432.0,98112.8412371134,0.5141186029986305,0,0,2,408.2238,-0.1551544890946129,0,18,87,0,2,0,0,0,True,True,False
CO-0483,401238.4395100002,839760.7302800001,15584.89999999998,-57050.99999999988,2024-10,0.0357142857142857,168432.0,98112.8412371134,0.5141186029986305,0,0,2,408.2238,-0.1551544890946129,0,18,87,0,2,0,0,0,True,True,False
CO-0484,401206.4395100002,839728.9303400002,15686.49999999998,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.5012221354213872,0,0,6,488.4832999999999,-0.1701803018087446,0,29,87,0,2,0,0,0,True,True,False
CO-0485,401206.4395100002,839728.9303400002,15686.49999999998,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.5012221354213872,0,0,6,488.4832999999999,-0.1701803018087446,0,29,87,0,2,0,0,0,True,True,False
CO-0486,401206.4395100002,839728.9303400002,15686.49999999998,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.5012221354213872,0,0,6,488.4832999999999,-0.1701803018087446,0,29,87,0,2,0,0,0,True,True,False
CO-0487,401206.4395100002,839728.9303400002,15686.49999999998,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.5012221354213872,0,0,6,488.4832999999999,-0.1701803018087446,0,29,87,0,2,0,0,0,True,True,False
CO-0488,401174.4395100002,839696.9303400002,15686.49999999998,-77750.99999999988,2024-10,0.1166666666666666,170388.0,98057.19587628866,0.4928540797371658,0,0,10,552.4899599999999,-0.1702620525688348,0,29,87,0,2,0,0,0,True,True,False
CO-0489,401174.4395100002,839696.9303400002,15686.49999999998,-77750.99999999988,2024-10,0.1166666666666666,170388.0,98057.19587628866,0.4928540797371658,0,0,10,552.4899599999999,-0.1702620525688348,0,29,87,0,2,0,0,0,True,True,False
CO-0490,401174.4395100002,839696.9303400002,15686.49999999998,-77750.99999999988,2024-10,0.1166666666666666,170388.0,98057.19587628866,0.4928540797371658,0,0,10,552.4899599999999,-0.1702620525688348,0,29,87,0,2,0,0,0,True,True,False
CO-0491,401174.4395100002,839696.9303400002,15686.49999999998,-77750.99999999988,2024-10,0.1166666666666666,170388.0,98057.19587628866,0.4928540797371658,0,0,10,552.4899599999999,-0.1702620525688348,0,29,87,0,2,0,0,0,True,True,False
CO-0456,399584.1860800001,837689.84744,17880.699999999986,-57050.99999999988,2024-10,0.037037037037037,168432.0,98112.8412371134,0.5137815878666451,0,0,2,436.83031,-0.1551551153742789,0,0,154,0,2,0,0,0,True,True,False
CO-0457,399584.1860800001,837689.84744,17880.699999999986,-57050.99999999988,2024-10,0.037037037037037,168432.0,98112.8412371134,0.5137815878666451,0,0,2,436.83031,-0.1551551153742789,0,0,154,0,2,0,0,0,True,True,False
