spec_id,cohorts,worst_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,passes_targets,passes_strict_gate,blocking_reason
U3-B021,124,275301.30741500005,598805.0746772002,622862.5500061201,713745.7885975001,0.0,6,0,0.27500524801210935,0.65,10449.60777,14928011.099999998,False,False,dual_target_failure
U3-B022,124,281111.3840099999,596113.18959,627059.6988115006,743859.83332,0.0,6,0,0.28581328359029934,0.5825242718446602,22802.677740000006,32428011.6,False,False,dual_target_failure
U3-B023,124,267186.317415,622247.4769644,644024.5248572801,736178.9214775001,0.0,6,0,0.2790121914150274,0.6,10449.60777,14928011.099999998,False,False,dual_target_failure
U3-B024,124,289591.8724499999,577983.2026899998,613465.4596045002,727544.925935,0.0,6,0,0.1700752437533014,0.5263157894736842,17928.63518,25539518.3,False,False,dual_target_failure
U3-B025,124,256837.12446000005,582518.4554600001,606654.5245695001,716410.8038508,0.0,6,0,0.2994598851543272,0.5416666666666666,9178.022560000001,13111460.8,False,False,dual_target_failure
U3-B026,124,311609.89653999987,602333.4763768003,625423.0553910801,765278.0063450001,0.0,6,0,0.2865839199578384,0.5132743362831859,24469.759029999997,34845408.5,False,False,dual_target_failure
U3-B027,124,265579.58877000003,602819.0564099997,632872.756326,731717.5756758,0.0,6,0,0.300750830368943,0.4838709677419355,11860.315599999998,16943308.0,False,False,dual_target_failure
U3-B028,124,315503.55815,602683.6475399997,632420.4305975002,737607.2486200002,0.0,6,0,0.22720581538361118,0.5645161290322581,15338.466120000001,21801167.5,False,False,dual_target_failure
U3-B029,124,284951.73186000006,595819.2824800002,624846.6506965,705193.7149399999,0.0,6,0,0.27500524801210935,0.5769230769230769,8063.6637200000005,11519519.6,False,False,dual_target_failure
U3-B030,124,278879.20804999996,547836.8935299997,583917.927756,744141.1688200001,0.0,6,0,0.26889556597604714,0.5918367346938775,18073.230499999998,25685370.800000004,False,False,dual_target_failure
U3-B031,124,264362.5627199999,574722.0852043999,595828.91815924,729763.42879,0.0,6,0,0.2789398850761994,0.5,8906.06906,12722955.800000003,False,False,dual_target_failure
U3-B032,124,290272.53151,590650.8690600003,615048.9789130002,718698.9969649998,0.0,6,0,0.26774173493502096,0.6101694915254238,16086.781790000001,22852543.000000004,False,False,dual_target_failure
U3-B033,124,261320.02871999997,583383.7118500002,610154.44971378,733645.7245449999,0.0,6,0,0.27500524801210935,0.5666666666666667,5180.641729999999,7394143.7,False,False,dual_target_failure
