spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,u3_codes_traded,dual_target_pass
CO-0552,beginning,2024-10,0.0490797546012269,373102.5214800001,767444.4895900001,22798.99999999998,-124661.99999999984,251280.0,72625.33608247423,0.873509857831352,62,92,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,7,1039.51041,-0.2827057938583848,2,"510050,510300,510500",False
CO-0552,ending,2024-10,0.0576923076923076,364184.62288,761119.5202200001,20876.099999999988,-122321.99999999978,251280.0,77836.75051546392,0.9057572284996168,47,99,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""nav_multiple_gate"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,989.4797799999996,-0.2808807415592037,0,"510050,510300,510500",False
CO-0553,beginning,2024-10,0.0490797546012269,373102.5214800001,767444.4895900001,22798.99999999998,-124661.99999999984,251280.0,72625.33608247423,0.873509857831352,62,92,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,7,1039.51041,-0.2827057938583848,2,"510050,510300,510500",False
CO-0553,ending,2024-10,0.0576923076923076,364184.62288,761119.5202200001,20876.099999999988,-122321.99999999978,251280.0,77836.75051546392,0.9057572284996168,47,99,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""nav_multiple_gate"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,989.4797799999996,-0.2808807415592037,0,"510050,510300,510500",False
CO-0554,beginning,2024-10,0.0490797546012269,373102.5214800001,767444.4895900001,22798.99999999998,-124661.99999999984,251280.0,72625.33608247423,0.873509857831352,62,92,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,7,1039.51041,-0.2827057938583848,2,"510050,510300,510500",False
CO-0554,ending,2024-10,0.0576923076923076,364184.62288,761119.5202200001,20876.099999999988,-122321.99999999978,251280.0,77836.75051546392,0.9057572284996168,47,99,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""nav_multiple_gate"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,989.4797799999996,-0.2808807415592037,0,"510050,510300,510500",False
CO-0555,beginning,2024-10,0.0490797546012269,373102.5214800001,767444.4895900001,22798.99999999998,-124661.99999999984,251280.0,72625.33608247423,0.873509857831352,62,92,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,7,1039.51041,-0.2827057938583848,2,"510050,510300,510500",False
CO-0555,ending,2024-10,0.0576923076923076,364184.62288,761119.5202200001,20876.099999999988,-122321.99999999978,251280.0,77836.75051546392,0.9057572284996168,47,99,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":14},""202412"":{""nav_multiple_gate"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,989.4797799999996,-0.2808807415592037,0,"510050,510300,510500",False
CO-0556,beginning,2024-10,0.0689655172413793,446047.64391,881793.13181,19497.699999999968,-66534.0000000002,251280.0,144560.85773195876,0.8271039257927348,0,80,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13}}",0,0,5,603.46819,-0.2311311057946202,0,"510050,510300,510500",False
CO-0556,ending,2024-10,0.0903614457831325,388036.8989,793731.38023,21097.699999999997,-91782.0,251280.0,75930.53195876289,0.8559593809168439,56,94,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":13},""202508"":{""free_cash_insufficient"":1}}",1,1,14,1092.1197699999996,-0.2731890821922939,0,"510050,510300,510500",False
CO-0557,beginning,2024-10,0.0689655172413793,446047.64391,881793.13181,19497.699999999968,-66534.0000000002,251280.0,144560.85773195876,0.8271039257927348,0,80,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13}}",0,0,5,603.46819,-0.2311311057946202,0,"510050,510300,510500",False
CO-0557,ending,2024-10,0.0903614457831325,388036.8989,793731.38023,21097.699999999997,-91782.0,251280.0,75930.53195876289,0.8559593809168439,56,94,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":13},""202508"":{""free_cash_insufficient"":1}}",1,1,14,1092.1197699999996,-0.2731890821922939,0,"510050,510300,510500",False
CO-0558,beginning,2024-10,0.0689655172413793,446047.64391,881793.13181,19497.699999999968,-66534.0000000002,251280.0,144560.85773195876,0.8271039257927348,0,80,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13}}",0,0,5,603.46819,-0.2311311057946202,0,"510050,510300,510500",False
CO-0558,ending,2024-10,0.0903614457831325,388036.8989,793731.38023,21097.699999999997,-91782.0,251280.0,75930.53195876289,0.8559593809168439,56,94,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13},""202411"":{""nav_multiple_gate"":14},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":1},""202507"":{""free_cash_insufficient"":13},""202508"":{""free_cash_insufficient"":1}}",1,1,14,1092.1197699999996,-0.2731890821922939,0,"510050,510300,510500",False
CO-0559,beginning,2024-10,0.0689655172413793,446047.64391,881793.13181,19497.699999999968,-66534.0000000002,251280.0,144560.85773195876,0.8271039257927348,0,80,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""nav_multiple_gate"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":13}}",0,0,5,603.46819,-0.2311311057946202,0,"510050,510300,510500",False
