spec_id,family,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,funds_insufficient,lot_rounding,suspension_or_missing_price,asset_identity_passed,passes_targets,strict_candidate,evidence_tier
HE-vol_drawdown_cash-033,vol_drawdown_cash,134,345582.5349800001,351271.27,694031.2997999999,700272.7653874999,734816.4922499998,0.0,6,0,0.05291290441701957,0.0,1251.2597500000002,1391862.6,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-030,vol_drawdown_cash,134,339448.87535000005,349514.93381449993,694031.2997999999,700790.6774060002,734237.2395549996,0.0,6,0,0.0529129569386424,0.0,1742.781,2138843.8000000003,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-001,vol_drawdown_cash,134,337402.18159999995,345633.62819699995,675200.2141300002,687777.9199430001,738485.691625,0.0,6,0,0.0902029958999363,0.0,3004.6876299999994,3975170.899999999,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-004,vol_drawdown_cash,134,337402.18159999995,345969.52821649995,675200.2141300002,687777.9199430001,741683.72789,0.0,6,0,0.09114370402601046,0.0,1342.7499100000002,1549585.4999999998,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-007,vol_drawdown_cash,134,337402.18159999995,345969.52821649995,675200.2141300002,687777.9199430001,741683.72789,0.0,6,0,0.09140118508574335,0.0,2170.0616599999994,2797580.2999999993,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-010,vol_drawdown_cash,134,337402.18159999995,345969.52821649995,675200.2141300002,687777.9199430001,741683.72789,0.0,6,0,0.09082015554858525,0.0,1854.50221,2312484.5,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-013,vol_drawdown_cash,134,337402.18159999995,345195.028206,675200.2141300002,687105.9723965001,738990.2527899999,0.0,6,0,0.09043798956580018,0.0,2958.8787899999993,3950502.4999999995,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-019,vol_drawdown_cash,134,337402.18159999995,345633.62819699995,675200.2141300002,687777.9199430001,735328.4262699999,0.0,6,0,0.08700526798850428,0.0,2869.2776,3743126.9,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-022,vol_drawdown_cash,134,337402.18159999995,345969.52821649995,675200.2141300002,687777.9199430001,736503.5173849999,0.0,6,0,0.08795256349046998,0.0,1342.64509,1550706.9999999998,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
HE-vol_drawdown_cash-025,vol_drawdown_cash,134,337402.18159999995,344036.07004499994,675200.2141300002,687777.9199430001,736503.5173849999,0.0,6,0,0.09105220254621216,0.0,2286.1136400000005,2943940.7,0,540,0,True,False,False,free_real_approx_vendor_159915_official_SSE_others
