spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-A012,124,346208.8539900001,348773.61371050007,685524.87748,689255.4112243998,734746.1930150001,0.0,6,0,0.03227761635589099,0.0,5390.001219999997,7512019.800000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A013,124,332973.16417800006,345245.3814335,679233.7032980002,694449.1984597001,734757.0106712001,0.0,6,0,0.08705679970071911,0.0,2313.0469399999997,3291499.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A014,124,346208.8539900001,348773.61371050007,685524.87748,689255.4112243998,734746.1930150001,0.0,6,0,0.03227761635589099,0.0,5390.001219999997,7512019.800000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A015,124,332973.16417800006,345245.3814335,679233.7032980002,694449.1984597001,734757.0106712001,0.0,6,0,0.08705679970071911,0.0,2313.0469399999997,3291499.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A016,124,336025.99363000016,340205.4546255,660885.0056,667112.13832648,740238.1226949999,0.0,6,0,0.05587400763356809,0.0,9296.526460000003,13138396.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A017,124,311887.90748799994,334382.404637,646039.547856,672883.776785,738355.9692863999,0.0,6,0,0.15182570832746978,0.0,3998.59216,5708271.499999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-A018,124,336025.99363000016,340205.4546255,660885.0056,667112.13832648,740238.1226949999,0.0,6,0,0.05587400763356809,0.0,9296.526460000003,13138396.600000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A019,124,311887.90748799994,334382.404637,646039.547856,672883.776785,738355.9692863999,0.0,6,0,0.15182570832746978,0.0,3998.59216,5708271.499999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-A020,124,326075.97842000006,331808.3665325,637319.4206200001,645714.3483284604,736114.2158950001,0.0,6,0,0.07819221063132831,0.2358490566037736,13115.4383,18631816.400000002,True,0,4439,0,0,0,False,False,dual_target_failure
U3-A021,124,290516.9647400001,323337.6591129999,611347.4026000001,648203.0911946001,743360.0544636,0.0,6,0,0.21574436514393136,0.25806451612903225,5636.1156599999995,8051593.8,True,0,865,0,0,0,False,False,dual_target_failure
