spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O3_drawdown_protective_put-181,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-182,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-183,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-184,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-185,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-186,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-187,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-188,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-189,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-190,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-191,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-192,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-193,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-194,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-195,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-196,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-197,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-198,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-199,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-200,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-201,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-202,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-203,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-204,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-205,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-206,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-207,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-208,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-209,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-210,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-211,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-212,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-213,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-214,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-215,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-216,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-217,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-218,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-219,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-220,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-221,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-222,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-223,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-224,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-225,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-226,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-227,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-228,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-229,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-230,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-231,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-232,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-233,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-234,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-235,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-236,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-237,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-238,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-239,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-240,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-241,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-242,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-243,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-244,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-245,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-246,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-247,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-248,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-249,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-250,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-251,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-252,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-253,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-254,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-255,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-256,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-257,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-258,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-259,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-260,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-261,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-262,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-263,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-264,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-265,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-266,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-267,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-268,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-269,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-270,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-271,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-272,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-273,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-274,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-275,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-276,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-277,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-278,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-279,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-280,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-281,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-282,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-283,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-284,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-285,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-286,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-287,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-288,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-289,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-290,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-291,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-292,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-293,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-294,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-295,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-296,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-297,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-298,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-299,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-300,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-301,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-302,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-303,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-304,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-305,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-306,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-307,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-308,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-309,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-310,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-311,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-312,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-313,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-314,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-315,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-316,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-317,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-318,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-319,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-320,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-321,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-322,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-323,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-324,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-325,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-326,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-327,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-328,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-329,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-330,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-331,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-332,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-333,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-334,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-335,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-336,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-337,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-338,390000.0,720000.0,0.0,1.0,0.0,0.4
