spec_id,W12,W24,margin_peak,asset_identity_failures
S4ARB-0203,394064.72277,766041.60362,240300.0,0
S4ARB-0108,372047.5648100001,751195.0039600001,251040.0,0
S4ARB-0109,372047.5648100001,751195.0039600001,251040.0,0
S4ARB-0110,372047.5648100001,751195.0039600001,251040.0,0
S4ARB-0111,372047.5648100001,751195.0039600001,251040.0,0
S4ARB-0112,369158.3055500001,736470.1560600001,247680.0,0
S4ARB-0113,369158.3055500001,736470.1560600001,247680.0,0
S4ARB-0114,369158.3055500001,736470.1560600001,247680.0,0
S4ARB-0115,369158.3055500001,736470.1560600001,247680.0,0
S4ARB-0116,366509.6897499999,733318.92273,252936.0,0
S4ARB-0117,366509.6897499999,733318.92273,252936.0,0
S4ARB-0118,366509.6897499999,733318.92273,252936.0,0
S4ARB-0119,366509.6897499999,733318.92273,252936.0,0
S4ARB-0211,396032.38222,712267.8203799999,272700.0,0
S4ARB-0210,396032.38222,712267.8203799999,272700.0,0
S4ARB-0209,396032.38222,712267.8203799999,272700.0,0
S4ARB-0208,396032.38222,712267.8203799999,272700.0,0
S4ARB-0207,396032.38222,710131.2738900001,272700.0,0
S4ARB-0206,396032.38222,710131.2738900001,272700.0,0
S4ARB-0205,396032.38222,710131.2738900001,272700.0,0
S4ARB-0204,396032.38222,710131.2738900001,272700.0,0
S4ARB-0212,396032.38222,702334.1619400001,273420.0,0
S4ARB-0213,396032.38222,702334.1619400001,273420.0,0
S4ARB-0214,396032.38222,702334.1619400001,273420.0,0
S4ARB-0215,396032.38222,702334.1619400001,273420.0,0
