spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-C026,124,325231.2609799999,333815.76022700017,634720.9330499999,655033.1632734995,735502.8,0.0,6,0,0.13166035151101874,0.1684981684981685,6350.749029999999,8197133.699999995,True,0,1374,0,0,0,False,False,dual_target_failure
U3-C027,124,353971.0,354890.184215,705297.5629599999,711070.3501985,728068.5999999999,0.0,6,0,0.036866321892098375,0.0,1883.5355900000004,1445653.7999999996,True,0,0,6,0,0,False,False,dual_target_failure
U3-C028,124,348073.1459500001,349852.49245649995,691426.0322099999,702785.6883575001,732970.4999999999,0.0,6,0,0.0774308763324395,0.0,2966.13445,3114213.1000000006,True,0,0,0,0,0,False,False,dual_target_failure
U3-C029,124,340289.72823999997,343347.8900235,673256.6095575999,691754.2879874996,739250.1682500001,0.0,6,0,0.13175659834578834,0.12109375,4644.694495800001,5713526.993999999,True,0,906,0,0,0,False,False,dual_target_failure
U3-C030,124,351805.30772000004,353685.54266700003,697882.4172699995,705184.2183030001,727663.55,0.0,6,0,0.03716604453117778,0.0,2179.7104200000003,2167857.8,True,0,0,4,0,0,False,False,dual_target_failure
U3-C031,124,343639.3636099999,347619.06373449997,676762.8909800001,691002.7822044999,730925.5999999999,0.0,6,0,0.07977683373688849,0.0,3687.3189699999984,4342717.500000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-C032,124,333050.09365999995,339426.766133,649004.08297,670525.9081489997,735502.8,0.0,6,0,0.13166035151101874,0.1684981684981685,6025.462997400002,7872016.081999998,True,0,1300,0,0,0,False,False,dual_target_failure
U3-C033,124,353971.0,354890.184215,706216.8078999999,711517.8482000001,728818.052295,0.0,6,0,0.036866321892098375,0.0,1883.5355900000004,1445653.7999999996,True,0,0,6,0,0,False,False,dual_target_failure
U3-C034,124,348073.1459500001,349852.49245649995,693151.9918999997,703486.3874059999,732970.4999999999,0.0,6,0,0.0774308763324395,0.0,2966.13445,3114213.1000000006,True,0,0,0,0,0,False,False,dual_target_failure
U3-C035,124,340289.72823999997,343347.8900235,676181.2642776001,693023.4781734998,739250.1682500001,0.0,6,0,0.13175659834578834,0.12109375,4644.694495800001,5713526.993999999,True,0,744,0,0,0,False,False,dual_target_failure
